trip_id,arrival_time,departure_time,stop_id,stop_sequence
blue_outbound_00001,06:30:00,06:30:00,marina,1
blue_outbound_00001,06:36:05,06:37:05,national_theatre,2
blue_outbound_00001,06:40:49,06:41:49,iganmu,3
blue_outbound_00001,06:45:03,06:46:03,alaba,4
blue_outbound_00001,06:48:01,06:48:01,mile_2,5
blue_outbound_00002,06:53:01,06:53:01,marina,1
blue_outbound_00002,06:59:06,07:00:06,national_theatre,2
blue_outbound_00002,07:03:50,07:04:50,iganmu,3
blue_outbound_00002,07:08:04,07:09:04,alaba,4
blue_outbound_00002,07:11:02,07:11:02,mile_2,5
blue_outbound_00003,07:16:02,07:16:02,marina,1
blue_outbound_00003,07:22:07,07:23:07,national_theatre,2
blue_outbound_00003,07:26:51,07:27:51,iganmu,3
blue_outbound_00003,07:31:05,07:32:05,alaba,4
blue_outbound_00003,07:34:03,07:34:03,mile_2,5
blue_outbound_00004,07:39:03,07:39:03,marina,1
blue_outbound_00004,07:45:08,07:46:08,national_theatre,2
blue_outbound_00004,07:49:52,07:50:52,iganmu,3
blue_outbound_00004,07:54:06,07:55:06,alaba,4
blue_outbound_00004,07:57:04,07:57:04,mile_2,5
blue_outbound_00005,08:02:04,08:02:04,marina,1
blue_outbound_00005,08:08:09,08:09:09,national_theatre,2
blue_outbound_00005,08:12:53,08:13:53,iganmu,3
blue_outbound_00005,08:17:07,08:18:07,alaba,4
blue_outbound_00005,08:20:05,08:20:05,mile_2,5
blue_outbound_00006,08:25:05,08:25:05,marina,1
blue_outbound_00006,08:31:10,08:32:10,national_theatre,2
blue_outbound_00006,08:35:54,08:36:54,iganmu,3
blue_outbound_00006,08:40:08,08:41:08,alaba,4
blue_outbound_00006,08:43:06,08:43:06,mile_2,5
blue_outbound_00007,08:48:06,08:48:06,marina,1
blue_outbound_00007,08:54:11,08:55:11,national_theatre,2
blue_outbound_00007,08:58:55,08:59:55,iganmu,3
blue_outbound_00007,09:03:09,09:04:09,alaba,4
blue_outbound_00007,09:06:07,09:06:07,mile_2,5
blue_outbound_00008,09:11:07,09:11:07,marina,1
blue_outbound_00008,09:17:12,09:18:12,national_theatre,2
blue_outbound_00008,09:21:56,09:22:56,iganmu,3
blue_outbound_00008,09:26:10,09:27:10,alaba,4
blue_outbound_00008,09:29:08,09:29:08,mile_2,5
blue_outbound_00009,09:34:08,09:34:08,marina,1
blue_outbound_00009,09:40:13,09:41:13,national_theatre,2
blue_outbound_00009,09:44:57,09:45:57,iganmu,3
blue_outbound_00009,09:49:11,09:50:11,alaba,4
blue_outbound_00009,09:52:09,09:52:09,mile_2,5
blue_outbound_00010,10:00:00,10:00:00,marina,1
blue_outbound_00010,10:06:05,10:07:05,national_theatre,2
blue_outbound_00010,10:10:49,10:11:49,iganmu,3
blue_outbound_00010,10:15:03,10:16:03,alaba,4
blue_outbound_00010,10:18:01,10:18:01,mile_2,5
blue_outbound_00011,10:28:01,10:28:01,marina,1
blue_outbound_00011,10:34:06,10:35:06,national_theatre,2
blue_outbound_00011,10:38:50,10:39:50,iganmu,3
blue_outbound_00011,10:43:04,10:44:04,alaba,4
blue_outbound_00011,10:46:02,10:46:02,mile_2,5
blue_outbound_00012,10:56:02,10:56:02,marina,1
blue_outbound_00012,11:02:07,11:03:07,national_theatre,2
blue_outbound_00012,11:06:51,11:07:51,iganmu,3
blue_outbound_00012,11:11:05,11:12:05,alaba,4
blue_outbound_00012,11:14:03,11:14:03,mile_2,5
blue_outbound_00013,11:24:03,11:24:03,marina,1
blue_outbound_00013,11:30:08,11:31:08,national_theatre,2
blue_outbound_00013,11:34:52,11:35:52,iganmu,3
blue_outbound_00013,11:39:06,11:40:06,alaba,4
blue_outbound_00013,11:42:04,11:42:04,mile_2,5
blue_outbound_00014,11:52:04,11:52:04,marina,1
blue_outbound_00014,11:58:09,11:59:09,national_theatre,2
blue_outbound_00014,12:02:53,12:03:53,iganmu,3
blue_outbound_00014,12:07:07,12:08:07,alaba,4
blue_outbound_00014,12:10:05,12:10:05,mile_2,5
blue_outbound_00015,12:20:05,12:20:05,marina,1
blue_outbound_00015,12:26:10,12:27:10,national_theatre,2
blue_outbound_00015,12:30:54,12:31:54,iganmu,3
blue_outbound_00015,12:35:08,12:36:08,alaba,4
blue_outbound_00015,12:38:06,12:38:06,mile_2,5
blue_outbound_00016,12:48:06,12:48:06,marina,1
blue_outbound_00016,12:54:11,12:55:11,national_theatre,2
blue_outbound_00016,12:58:55,12:59:55,iganmu,3
blue_outbound_00016,13:03:09,13:04:09,alaba,4
blue_outbound_00016,13:06:07,13:06:07,mile_2,5
blue_outbound_00017,13:16:07,13:16:07,marina,1
blue_outbound_00017,13:22:12,13:23:12,national_theatre,2
blue_outbound_00017,13:26:56,13:27:56,iganmu,3
blue_outbound_00017,13:31:10,13:32:10,alaba,4
blue_outbound_00017,13:34:08,13:34:08,mile_2,5
blue_outbound_00018,13:44:08,13:44:08,marina,1
blue_outbound_00018,13:50:13,13:51:13,national_theatre,2
blue_outbound_00018,13:54:57,13:55:57,iganmu,3
blue_outbound_00018,13:59:11,14:00:11,alaba,4
blue_outbound_00018,14:02:09,14:02:09,mile_2,5
blue_outbound_00019,14:12:09,14:12:09,marina,1
blue_outbound_00019,14:18:14,14:19:14,national_theatre,2
blue_outbound_00019,14:22:58,14:23:58,iganmu,3
blue_outbound_00019,14:27:12,14:28:12,alaba,4
blue_outbound_00019,14:30:10,14:30:10,mile_2,5
blue_outbound_00020,14:40:10,14:40:10,marina,1
blue_outbound_00020,14:46:15,14:47:15,national_theatre,2
blue_outbound_00020,14:50:59,14:51:59,iganmu,3
blue_outbound_00020,14:55:13,14:56:13,alaba,4
blue_outbound_00020,14:58:11,14:58:11,mile_2,5
blue_outbound_00021,15:08:11,15:08:11,marina,1
blue_outbound_00021,15:14:16,15:15:16,national_theatre,2
blue_outbound_00021,15:19:00,15:20:00,iganmu,3
blue_outbound_00021,15:23:14,15:24:14,alaba,4
blue_outbound_00021,15:26:12,15:26:12,mile_2,5
blue_outbound_00022,15:36:12,15:36:12,marina,1
blue_outbound_00022,15:42:17,15:43:17,national_theatre,2
blue_outbound_00022,15:47:01,15:48:01,iganmu,3
blue_outbound_00022,15:51:15,15:52:15,alaba,4
blue_outbound_00022,15:54:13,15:54:13,mile_2,5
blue_outbound_00023,16:00:00,16:00:00,marina,1
blue_outbound_00023,16:06:05,16:07:05,national_theatre,2
blue_outbound_00023,16:10:49,16:11:49,iganmu,3
blue_outbound_00023,16:15:03,16:16:03,alaba,4
blue_outbound_00023,16:18:01,16:18:01,mile_2,5
blue_outbound_00024,16:23:01,16:23:01,marina,1
blue_outbound_00024,16:29:06,16:30:06,national_theatre,2
blue_outbound_00024,16:33:50,16:34:50,iganmu,3
blue_outbound_00024,16:38:04,16:39:04,alaba,4
blue_outbound_00024,16:41:02,16:41:02,mile_2,5
blue_outbound_00025,16:46:02,16:46:02,marina,1
blue_outbound_00025,16:52:07,16:53:07,national_theatre,2
blue_outbound_00025,16:56:51,16:57:51,iganmu,3
blue_outbound_00025,17:01:05,17:02:05,alaba,4
blue_outbound_00025,17:04:03,17:04:03,mile_2,5
blue_outbound_00026,17:09:03,17:09:03,marina,1
blue_outbound_00026,17:15:08,17:16:08,national_theatre,2
blue_outbound_00026,17:19:52,17:20:52,iganmu,3
blue_outbound_00026,17:24:06,17:25:06,alaba,4
blue_outbound_00026,17:27:04,17:27:04,mile_2,5
blue_outbound_00027,17:32:04,17:32:04,marina,1
blue_outbound_00027,17:38:09,17:39:09,national_theatre,2
blue_outbound_00027,17:42:53,17:43:53,iganmu,3
blue_outbound_00027,17:47:07,17:48:07,alaba,4
blue_outbound_00027,17:50:05,17:50:05,mile_2,5
blue_outbound_00028,17:55:05,17:55:05,marina,1
blue_outbound_00028,18:01:10,18:02:10,national_theatre,2
blue_outbound_00028,18:05:54,18:06:54,iganmu,3
blue_outbound_00028,18:10:08,18:11:08,alaba,4
blue_outbound_00028,18:13:06,18:13:06,mile_2,5
blue_outbound_00029,18:18:06,18:18:06,marina,1
blue_outbound_00029,18:24:11,18:25:11,national_theatre,2
blue_outbound_00029,18:28:55,18:29:55,iganmu,3
blue_outbound_00029,18:33:09,18:34:09,alaba,4
blue_outbound_00029,18:36:07,18:36:07,mile_2,5
blue_outbound_00030,18:41:07,18:41:07,marina,1
blue_outbound_00030,18:47:12,18:48:12,national_theatre,2
blue_outbound_00030,18:51:56,18:52:56,iganmu,3
blue_outbound_00030,18:56:10,18:57:10,alaba,4
blue_outbound_00030,18:59:08,18:59:08,mile_2,5
blue_outbound_00031,19:04:08,19:04:08,marina,1
blue_outbound_00031,19:10:13,19:11:13,national_theatre,2
blue_outbound_00031,19:14:57,19:15:57,iganmu,3
blue_outbound_00031,19:19:11,19:20:11,alaba,4
blue_outbound_00031,19:22:09,19:22:09,mile_2,5
blue_outbound_00032,19:27:09,19:27:09,marina,1
blue_outbound_00032,19:33:14,19:34:14,national_theatre,2
blue_outbound_00032,19:37:58,19:38:58,iganmu,3
blue_outbound_00032,19:42:12,19:43:12,alaba,4
blue_outbound_00032,19:45:10,19:45:10,mile_2,5
blue_outbound_00033,19:50:10,19:50:10,marina,1
blue_outbound_00033,19:56:15,19:57:15,national_theatre,2
blue_outbound_00033,20:00:59,20:01:59,iganmu,3
blue_outbound_00033,20:05:13,20:06:13,alaba,4
blue_outbound_00033,20:08:11,20:08:11,mile_2,5
blue_outbound_00034,20:13:11,20:13:11,marina,1
blue_outbound_00034,20:19:16,20:20:16,national_theatre,2
blue_outbound_00034,20:24:00,20:25:00,iganmu,3
blue_outbound_00034,20:28:14,20:29:14,alaba,4
blue_outbound_00034,20:31:12,20:31:12,mile_2,5
blue_outbound_00035,20:36:12,20:36:12,marina,1
blue_outbound_00035,20:42:17,20:43:17,national_theatre,2
blue_outbound_00035,20:47:01,20:48:01,iganmu,3
blue_outbound_00035,20:51:15,20:52:15,alaba,4
blue_outbound_00035,20:54:13,20:54:13,mile_2,5
blue_outbound_00036,21:00:00,21:00:00,marina,1
blue_outbound_00036,21:06:05,21:07:05,national_theatre,2
blue_outbound_00036,21:10:49,21:11:49,iganmu,3
blue_outbound_00036,21:15:03,21:16:03,alaba,4
blue_outbound_00036,21:18:01,21:18:01,mile_2,5
blue_outbound_00001,06:30:00,06:30:00,mile_2,1
blue_outbound_00001,06:31:58,06:32:58,alaba,2
blue_outbound_00001,06:36:12,06:37:12,iganmu,3
blue_outbound_00001,06:40:56,06:41:56,national_theatre,4
blue_outbound_00001,06:48:01,06:48:01,marina,5
blue_outbound_00002,06:53:01,06:53:01,mile_2,1
blue_outbound_00002,06:54:59,06:55:59,alaba,2
blue_outbound_00002,06:59:13,07:00:13,iganmu,3
blue_outbound_00002,07:03:57,07:04:57,national_theatre,4
blue_outbound_00002,07:11:02,07:11:02,marina,5
blue_outbound_00003,07:16:02,07:16:02,mile_2,1
blue_outbound_00003,07:18:00,07:19:00,alaba,2
blue_outbound_00003,07:22:14,07:23:14,iganmu,3
blue_outbound_00003,07:26:58,07:27:58,national_theatre,4
blue_outbound_00003,07:34:03,07:34:03,marina,5
blue_outbound_00004,07:39:03,07:39:03,mile_2,1
blue_outbound_00004,07:41:01,07:42:01,alaba,2
blue_outbound_00004,07:45:15,07:46:15,iganmu,3
blue_outbound_00004,07:49:59,07:50:59,national_theatre,4
blue_outbound_00004,07:57:04,07:57:04,marina,5
blue_outbound_00005,08:02:04,08:02:04,mile_2,1
blue_outbound_00005,08:04:02,08:05:02,alaba,2
blue_outbound_00005,08:08:16,08:09:16,iganmu,3
blue_outbound_00005,08:13:00,08:14:00,national_theatre,4
blue_outbound_00005,08:20:05,08:20:05,marina,5
blue_outbound_00006,08:25:05,08:25:05,mile_2,1
blue_outbound_00006,08:27:03,08:28:03,alaba,2
blue_outbound_00006,08:31:17,08:32:17,iganmu,3
blue_outbound_00006,08:36:01,08:37:01,national_theatre,4
blue_outbound_00006,08:43:06,08:43:06,marina,5
blue_outbound_00007,08:48:06,08:48:06,mile_2,1
blue_outbound_00007,08:50:04,08:51:04,alaba,2
blue_outbound_00007,08:54:18,08:55:18,iganmu,3
blue_outbound_00007,08:59:02,09:00:02,national_theatre,4
blue_outbound_00007,09:06:07,09:06:07,marina,5
blue_outbound_00008,09:11:07,09:11:07,mile_2,1
blue_outbound_00008,09:13:05,09:14:05,alaba,2
blue_outbound_00008,09:17:19,09:18:19,iganmu,3
blue_outbound_00008,09:22:03,09:23:03,national_theatre,4
blue_outbound_00008,09:29:08,09:29:08,marina,5
blue_outbound_00009,09:34:08,09:34:08,mile_2,1
blue_outbound_00009,09:36:06,09:37:06,alaba,2
blue_outbound_00009,09:40:20,09:41:20,iganmu,3
blue_outbound_00009,09:45:04,09:46:04,national_theatre,4
blue_outbound_00009,09:52:09,09:52:09,marina,5
blue_outbound_00010,10:00:00,10:00:00,mile_2,1
blue_outbound_00010,10:01:58,10:02:58,alaba,2
blue_outbound_00010,10:06:12,10:07:12,iganmu,3
blue_outbound_00010,10:10:56,10:11:56,national_theatre,4
blue_outbound_00010,10:18:01,10:18:01,marina,5
blue_outbound_00011,10:28:01,10:28:01,mile_2,1
blue_outbound_00011,10:29:59,10:30:59,alaba,2
blue_outbound_00011,10:34:13,10:35:13,iganmu,3
blue_outbound_00011,10:38:57,10:39:57,national_theatre,4
blue_outbound_00011,10:46:02,10:46:02,marina,5
blue_outbound_00012,10:56:02,10:56:02,mile_2,1
blue_outbound_00012,10:58:00,10:59:00,alaba,2
blue_outbound_00012,11:02:14,11:03:14,iganmu,3
blue_outbound_00012,11:06:58,11:07:58,national_theatre,4
blue_outbound_00012,11:14:03,11:14:03,marina,5
blue_outbound_00013,11:24:03,11:24:03,mile_2,1
blue_outbound_00013,11:26:01,11:27:01,alaba,2
blue_outbound_00013,11:30:15,11:31:15,iganmu,3
blue_outbound_00013,11:34:59,11:35:59,national_theatre,4
blue_outbound_00013,11:42:04,11:42:04,marina,5
blue_outbound_00014,11:52:04,11:52:04,mile_2,1
blue_outbound_00014,11:54:02,11:55:02,alaba,2
blue_outbound_00014,11:58:16,11:59:16,iganmu,3
blue_outbound_00014,12:03:00,12:04:00,national_theatre,4
blue_outbound_00014,12:10:05,12:10:05,marina,5
blue_outbound_00015,12:20:05,12:20:05,mile_2,1
blue_outbound_00015,12:22:03,12:23:03,alaba,2
blue_outbound_00015,12:26:17,12:27:17,iganmu,3
blue_outbound_00015,12:31:01,12:32:01,national_theatre,4
blue_outbound_00015,12:38:06,12:38:06,marina,5
blue_outbound_00016,12:48:06,12:48:06,mile_2,1
blue_outbound_00016,12:50:04,12:51:04,alaba,2
blue_outbound_00016,12:54:18,12:55:18,iganmu,3
blue_outbound_00016,12:59:02,13:00:02,national_theatre,4
blue_outbound_00016,13:06:07,13:06:07,marina,5
blue_outbound_00017,13:16:07,13:16:07,mile_2,1
blue_outbound_00017,13:18:05,13:19:05,alaba,2
blue_outbound_00017,13:22:19,13:23:19,iganmu,3
blue_outbound_00017,13:27:03,13:28:03,national_theatre,4
blue_outbound_00017,13:34:08,13:34:08,marina,5
blue_outbound_00018,13:44:08,13:44:08,mile_2,1
blue_outbound_00018,13:46:06,13:47:06,alaba,2
blue_outbound_00018,13:50:20,13:51:20,iganmu,3
blue_outbound_00018,13:55:04,13:56:04,national_theatre,4
blue_outbound_00018,14:02:09,14:02:09,marina,5
blue_outbound_00019,14:12:09,14:12:09,mile_2,1
blue_outbound_00019,14:14:07,14:15:07,alaba,2
blue_outbound_00019,14:18:21,14:19:21,iganmu,3
blue_outbound_00019,14:23:05,14:24:05,national_theatre,4
blue_outbound_00019,14:30:10,14:30:10,marina,5
blue_outbound_00020,14:40:10,14:40:10,mile_2,1
